condition_id,shot_size,replicate,n_total,n_label_exposed_excluded,n_evaluable,not_evaluable_reason,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,brier,brier_ci_low,brier_ci_high,log_loss,log_loss_ci_low,log_loss_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high
shot000_rep01,0,1,109,0,109,,0.5,0.5,0.5,0.5045871559633027,0.5045871559633027,0.5045871559633027,0.25,0.25,0.25,0.6931471805599454,0.6931471805599454,0.6931471805599454,0.5045871559633027,0.5045871559633027,0.5045871559633027,1.0,1.0,1.0,0.0,0.0,0.0
shot004_rep01,4,1,109,4,105,,0.2677793904208999,0.1774174528301886,0.3673893323657474,0.3937334080994608,0.3605064889608403,0.4778694069963682,0.4886019238095238,0.4216176852380953,0.5509527426190477,1.6037691996465075,1.3289327526636463,1.8874503370442304,0.3333333333333333,0.2476190476190476,0.4285714285714285,0.4150943396226415,0.2830188679245283,0.5471698113207547,0.25,0.1346153846153846,0.3658653846153841
shot004_rep02,4,2,109,4,105,,0.6944847605224964,0.5883481494920174,0.7919130986937591,0.6992327752716281,0.6052404139996784,0.8137702703951272,0.3381400761904762,0.281966834047619,0.396554223095238,2.366404014717835,1.2973643510141697,3.627706965650237,0.5714285714285714,0.4857142857142857,0.6478571428571427,0.8301886792452831,0.7169811320754716,0.9245283018867924,0.3076923076923077,0.1918269230769231,0.4230769230769231
shot004_rep03,4,3,109,4,105,,0.3129535558780841,0.2149809506531204,0.4123866110304789,0.4055075728169108,0.3701604322388193,0.4786804069981774,0.3779399999999999,0.3401380952380952,0.420811,1.0443785702315984,0.9376684339303236,1.1645729190641767,0.3714285714285714,0.2857142857142857,0.4571428571428571,0.1698113207547169,0.0754716981132075,0.2641509433962264,0.5769230769230769,0.4423076923076923,0.7115384615384616
shot004_rep04,4,4,109,4,105,,0.5061683599419449,0.4014695210449927,0.6172169811320755,0.580616962339828,0.4972158593634714,0.6869225992268322,0.3129248666666666,0.2636687992857142,0.3632433095238094,0.9085258050794336,0.7548642119372824,1.0719289488347652,0.5142857142857142,0.419047619047619,0.6095238095238096,0.5849056603773585,0.4528301886792453,0.7169811320754716,0.4423076923076923,0.3076923076923077,0.5769230769230769
shot004_rep05,4,5,109,4,105,,0.6901306240928883,0.5887064586357039,0.7921308055152394,0.6808199244144657,0.5872445891240842,0.8014274245835857,0.2955322952380952,0.2446400647619047,0.3466021973809523,1.2056119406524128,0.7628472586343852,1.910615601204537,0.580952380952381,0.5142857142857142,0.6476190476190476,0.2641509433962264,0.1509433962264151,0.3962264150943396,0.903846153846154,0.8269230769230769,0.9807692307692308
shot004_rep06,4,6,109,4,105,,0.6757982583454282,0.5689314223512337,0.7743196661828737,0.6698355982732838,0.5671401933577692,0.7889510102726764,0.2450140952380952,0.1941800054761904,0.3021507180952381,1.312137473568166,0.6116437148042263,2.301055339922417,0.6761904761904762,0.5904761904761905,0.7619047619047619,0.5849056603773585,0.4528301886792453,0.7169811320754716,0.7692307692307693,0.6538461538461539,0.8846153846153846
shot004_rep07,4,7,109,4,105,,0.6425979680696662,0.5301070391872279,0.7449292452830188,0.7032998372799436,0.5994974851088519,0.7896560023145986,0.2393247428571428,0.2049559642857143,0.276468963095238,0.6852662838121736,0.5935784637070883,0.7844994026460864,0.6285714285714286,0.5428571428571428,0.7047619047619048,0.4150943396226415,0.2830188679245283,0.5471698113207547,0.8461538461538461,0.75,0.9423076923076924
shot004_rep08,4,8,109,4,105,,0.7429245283018868,0.6443849782293178,0.8261973875181422,0.7756771389716572,0.6918577190920259,0.85686912747552,0.2234361047619047,0.1750672314285714,0.2765642478571428,0.6777138000104095,0.5259375786189081,0.8583884553682604,0.6285714285714286,0.5428571428571428,0.7142857142857143,0.5471698113207547,0.4339622641509434,0.6792452830188679,0.7115384615384616,0.5961538461538461,0.8269230769230769
shot004_rep09,4,9,109,4,105,,0.4760522496371553,0.3624365021770682,0.5903528664731496,0.4884738920093403,0.4274640745184155,0.608260413103334,0.3455784666666666,0.2886666688095238,0.404674923095238,1.0882456199003214,0.8781905672319114,1.3164648683280975,0.5047619047619047,0.4095238095238095,0.6,0.5849056603773585,0.4528301886792453,0.6981132075471698,0.4230769230769231,0.2884615384615384,0.5576923076923077
shot004_rep10,4,10,109,4,105,,0.6806966618287373,0.5649446661828736,0.7819983671988389,0.7204326883507293,0.6226779976235866,0.8141268156035225,0.2817461714285714,0.2252029697619048,0.3425951028571428,1.2413496171947338,0.7562366187118338,2.0445550922053144,0.6285714285714286,0.5428571428571428,0.7047619047619048,0.4150943396226415,0.2641509433962264,0.5471698113207547,0.8461538461538461,0.75,0.9423076923076924
shot004_rep11,4,11,109,4,105,,0.2728592162554427,0.1756168359941944,0.3715529753265602,0.4001745900989636,0.3621484262629358,0.4752897524165511,0.5382190476190477,0.4650192569047618,0.6090879535714285,3.2086592962382627,2.136469529089811,4.51803111584702,0.3333333333333333,0.2476190476190476,0.4285714285714285,0.2641509433962264,0.1509433962264151,0.3773584905660377,0.4038461538461538,0.2692307692307692,0.5384615384615384
shot004_rep12,4,12,109,4,105,,0.7209724238026125,0.6189994557329462,0.8118740928882437,0.7340753890815654,0.6394298688344905,0.8358033483004224,0.2660027523809524,0.2089826823809523,0.3283153842857143,0.8660802358110957,0.6743287896631032,1.080084783965905,0.6476190476190476,0.5619047619047619,0.7333333333333333,0.4339622641509434,0.3018867924528302,0.5849056603773585,0.8653846153846154,0.7692307692307693,0.9423076923076924
shot004_rep13,4,13,109,4,105,,0.715166908563135,0.6135703918722787,0.8116881349782293,0.6952712730948255,0.6044577849792061,0.817055909156357,0.2210827619047619,0.1872730735714285,0.2576171116666667,0.6621173109371254,0.5637796916322251,0.7789523505688215,0.6666666666666666,0.580952380952381,0.7619047619047619,0.6037735849056604,0.4716981132075472,0.7547169811320755,0.7307692307692307,0.6153846153846154,0.8461538461538461
shot004_rep14,4,14,109,4,105,,0.6520319303338171,0.548911465892598,0.7565493468795355,0.6381614171980365,0.5502965526558108,0.7605186535435163,0.254516819047619,0.2077456614285714,0.3009649073809524,0.7885314765700219,0.6341018722460162,0.9815626699268912,0.6095238095238096,0.5238095238095238,0.6952380952380952,0.6981132075471698,0.5849056603773585,0.8113207547169812,0.5192307692307693,0.3846153846153846,0.6538461538461539
shot004_rep15,4,15,109,4,105,,0.7612481857764877,0.6578102322206095,0.8476097605224964,0.7555538653945956,0.6556684763128534,0.8555047936916644,0.2921642857142857,0.2629227683333333,0.3203591664285714,0.8128002562777442,0.7349321966105371,0.889019127035808,0.5428571428571428,0.5045238095238095,0.581190476190476,0.1132075471698113,0.0377358490566037,0.1886792452830188,0.9807692307692308,0.9423076923076924,1.0
shot004_rep16,4,16,109,4,105,,0.7411103047895501,0.6338488751814223,0.8341845065312047,0.734126668941609,0.6315610382363651,0.8446118273909374,0.2656724761904762,0.2179120299999999,0.3175618495238095,0.7965312373001332,0.6551859355194803,0.9698858023716752,0.6190476190476191,0.5428571428571428,0.6952380952380952,0.3584905660377358,0.244811320754717,0.490566037735849,0.8846153846153846,0.7884615384615384,0.9615384615384616
shot004_rep17,4,17,109,4,105,,0.7037373004354136,0.5982855587808419,0.8031658200290276,0.7284419801566278,0.6315688289733464,0.8284913189443368,0.2673061523809523,0.2122433923809523,0.3301459792857142,0.8690705892155468,0.6699197960671408,1.1139300055380992,0.6095238095238096,0.5142857142857142,0.6952380952380952,0.7358490566037735,0.6226415094339622,0.8490566037735849,0.4807692307692308,0.3461538461538461,0.6153846153846154
shot004_rep18,4,18,109,4,105,,0.6130261248185777,0.5010794629898404,0.7157792089985485,0.6094177479128191,0.5242458244287167,0.7267682021841887,0.2941837904761904,0.2384420988095238,0.3535267414285714,1.2175280224720342,0.7565877577765292,1.92438592946395,0.5523809523809524,0.4666666666666667,0.638095238095238,0.4150943396226415,0.2830188679245283,0.5471698113207547,0.6923076923076923,0.5576923076923077,0.8076923076923077
shot004_rep19,4,19,109,4,105,,0.7236937590711175,0.6260749274310595,0.8194892960812773,0.7502198459418912,0.6565637924734891,0.8469175050511565,0.2351375523809523,0.1817486678571428,0.2872415697619047,0.7323193603524104,0.5609993265588046,0.91286923935057,0.6761904761904762,0.5904761904761905,0.7621428571428569,0.7358490566037735,0.6226415094339622,0.8490566037735849,0.6153846153846154,0.5,0.7307692307692307
shot004_rep20,4,20,109,4,105,,0.7264150943396226,0.630619557329463,0.8138697387518142,0.7286394603562525,0.6320116139162952,0.8251575200168977,0.2195983333333333,0.1811935947619047,0.2586833364285714,0.6283277437370645,0.541555353476463,0.7208608015928446,0.638095238095238,0.5521428571428572,0.7238095238095238,0.4716981132075472,0.3396226415094339,0.6042452830188675,0.8076923076923077,0.6923076923076923,0.903846153846154
shot008_rep01,8,1,109,8,101,,0.1758823529411764,0.0992156862745098,0.2617696078431372,0.3554381716543566,0.3357882797739939,0.4195196741816948,0.5257597227722772,0.4706172943069306,0.5790495693069306,1.5653287361558197,1.3778443950501171,1.7478721975224294,0.2871287128712871,0.2178217821782178,0.3663366336633663,0.4901960784313725,0.3529411764705882,0.6274509803921569,0.08,0.02,0.16
shot008_rep02,8,2,109,8,101,,0.5694117647058824,0.4597450980392156,0.6925490196078431,0.5701389322136545,0.4923550208212013,0.6982760252814659,0.2678623762376237,0.2320438861386138,0.3010092574257425,0.7377310783250207,0.6559388713673198,0.8108587808319756,0.5247524752475248,0.4356435643564356,0.6141089108910889,0.3333333333333333,0.196078431372549,0.4705882352941176,0.72,0.6,0.84
shot008_rep03,8,3,109,8,101,,0.6919607843137255,0.5805588235294118,0.7931813725490195,0.7094571033127302,0.6080319977445319,0.8126941181551813,0.2735579207920792,0.2273448267326733,0.3251267326732673,0.802759492634703,0.66038248180013,0.958560830232056,0.5841584158415841,0.495049504950495,0.6636138613861384,0.7647058823529411,0.6274509803921569,0.8627450980392157,0.4,0.26,0.52
shot008_rep04,8,4,109,8,101,,0.7509803921568627,0.6525147058823529,0.8425539215686274,0.7722004654356167,0.6867985903797607,0.8576836276050193,0.2189752475247524,0.1709907920792079,0.2696034405940594,0.6435496374178843,0.5136377622817551,0.7763847682689342,0.6831683168316832,0.6037128712871287,0.7626237623762374,0.5686274509803921,0.4313725490196078,0.7058823529411765,0.8,0.68,0.9
shot008_rep05,8,5,109,8,101,,0.7072549019607843,0.6030980392156863,0.7988480392156863,0.7267690778988283,0.6340687110724982,0.8171731564266487,0.2236930693069307,0.1837061881188118,0.2704742821782178,0.6447866690200026,0.5457803247685191,0.7667506200456553,0.6336633663366337,0.5445544554455446,0.7227722772277227,0.6274509803921569,0.4901960784313725,0.7450980392156863,0.64,0.5,0.78
