"Body mass index, kg/m²",23.5 (21.6–25.5),23.7 (21.4–25.8),23.2 (21.8–24.8),-0.28
Liver function and laboratory characteristics,,,,
Child–Pugh score,5.0 (5.0–5.0),5.0 (5.0–5.0),5.0 (5.0–6.0),0.64
"Aspartate aminotransferase, U/L",38.0 (26.8–57.9),33.7 (26.8–55.2),40.0 (28.0–71.0),0.21
"Total bilirubin, μmol/L",14.8 (11.3–21.9),14.6 (11.7–20.9),15.5 (10.6–22.6),0.12
Tumour characteristics,,,,
"Maximum tumour size, mm",67.5 (42.0–94.8),72.0 (45.0–103.0),49.0 (33.0–81.0),-0.48
"BCLC stage, n/N (%)",,,,
  0,5/166 (3.0%),3/109 (2.8%),2/57 (3.5%),0.04
  A,115/166 (69.3%),69/109 (63.3%),46/57 (80.7%),0.4
  B,8/166 (4.8%),3/109 (2.8%),5/57 (8.8%),0.26
  C,38/166 (22.9%),34/109 (31.2%),4/57 (7.0%),-0.65
Preoperative treatment characteristics,,,,
TACE cycles,1.0 (1.0–2.0),2.0 (1.0–2.0),1.0 (1.0–1.0),-0.54
"Targeted therapy exposure, n/N (%)",144/165 (87.3%),88/109 (80.7%),56/56 (100.0%),0.69
"Immunotherapy exposure, n/N (%)",118/166 (71.1%),61/109 (56.0%),57/57 (100.0%),1.25
Pathological outcome,,,,
"Major pathological response, n/N (%)",80/166 (48.2%),55/109 (50.5%),25/57 (43.9%),
