Table S1 | Baseline distribution and modelling disposition of prespecified candidate features,,,,,,,,,,,,
"Feature distributions are shown on the original clinical scale where available. Model transformations, missingness, centre imbalance and RF-RFE stability are reported separately.",,,,,,,,,,,,
Feature,Source → model representation,Timing,Type,Overall (n=166),Development (n=109),External validation (n=57),"Missing, development","Missing, external",SMD or max |SMD|,RF-RFE frequency,Final model,Modelling disposition
"Age, years",age,baseline,numeric,58.0 (50.0–65.0),57.0 (47.0–64.0),61.0 (56.0–68.0),0/109 (0.0%),0/57 (0.0%),0.68,0,No,Prespecified candidate; not stability-selected
Sex,gender,baseline,categorical,Male: 140/166 (84.3%); Female: 26/166 (15.7%),Male: 94/109 (86.2%); Female: 15/109 (13.8%),Male: 46/57 (80.7%); Female: 11/57 (19.3%),0/109 (0.0%),0/57 (0.0%),0.15,0,No,Prespecified candidate; not stability-selected
"Body mass index, kg/m²",bmi,baseline,numeric,23.5 (21.6–25.5),23.7 (21.4–25.8),23.2 (21.8–24.8),2/109 (1.8%),0/57 (0.0%),-0.28,0.8,Yes,Locked final-model predictor
BCLC stage,bclc,baseline,categorical,Stage 0: 5/166 (3.0%); Stage A: 115/166 (69.3%); Stage B: 8/166 (4.8%); Stage C: 38/166 (22.9%),Stage 0: 3/109 (2.8%); Stage A: 69/109 (63.3%); Stage B: 3/109 (2.8%); Stage C: 34/109 (31.2%),Stage 0: 2/57 (3.5%); Stage A: 46/57 (80.7%); Stage B: 5/57 (8.8%); Stage C: 4/57 (7.0%),0/109 (0.0%),0/57 (0.0%),0.65,0,No,Prespecified candidate; not stability-selected
CNLC stage,cnlc → cnlc_major,baseline,categorical,Stage I: 102/166 (61.4%); Stage II: 26/166 (15.7%); Stage III: 38/166 (22.9%),Stage I: 53/109 (48.6%); Stage II: 22/109 (20.2%); Stage III: 34/109 (31.2%),Stage I: 49/57 (86.0%); Stage II: 4/57 (7.0%); Stage III: 4/57 (7.0%),0/109 (0.0%),0/57 (0.0%),0.87,0,No,Removed by prespecified redundancy rule; bclc retained
Child-Pugh score,child_score,baseline,numeric,5.0 (5.0–5.0),5.0 (5.0–5.0),5.0 (5.0–6.0),19/109 (17.4%),0/57 (0.0%),0.64,0,No,Prespecified candidate; not stability-selected
ECOG performance status,ecog,baseline,numeric,0.0 (0.0–0.0),0.0 (0.0–0.0),1.0 (0.0–1.0),12/109 (11.0%),39/57 (68.4%),1.59,0,No,Excluded by full-development QC: insufficient_usable_variation_or_missingness
"Baseline maximum tumour size, mm",tumorsizeb,baseline,numeric,67.5 (42.0–94.8),72.0 (45.0–103.0),49.0 (33.0–81.0),0/109 (0.0%),0/57 (0.0%),-0.48,1,Yes,Locked final-model predictor
Baseline tumor number,tumornum → tumornum_count,baseline,numeric,1.0 (1.0–2.0),1.0 (1.0–2.0),1.0 (1.0–1.0),0/109 (0.0%),0/57 (0.0%),-0.32,0,No,Prespecified candidate; not stability-selected
Portal-vein tumor thrombus present,pvtt → pvtt_any,baseline,categorical,Absent: 99/150 (66.0%); Present: 51/150 (34.0%),Absent: 45/93 (48.4%); Present: 48/93 (51.6%),Absent: 54/57 (94.7%); Present: 3/57 (5.3%),16/109 (14.7%),0/57 (0.0%),1.2,0,No,Removed by prespecified redundancy rule; vtt_any retained
Any vascular tumor thrombus present,vtt → vtt_any,baseline,categorical,Absent: 100/150 (66.7%); Present: 50/150 (33.3%),Absent: 46/93 (49.5%); Present: 47/93 (50.5%),Absent: 54/57 (94.7%); Present: 3/57 (5.3%),16/109 (14.7%),0/57 (0.0%),1.17,0,No,Prespecified candidate; not stability-selected
