context,feature,type,present,n_nonmissing,missing_rate,n_unique,dominant_value_rate,valid,reason
full_development_final_model,age,numeric,True,109,0.0,41,0.09174311926605505,True,
full_development_final_model,bmi,numeric,True,107,0.01834862385321101,99,0.018691588785046728,True,
full_development_final_model,child_score,numeric,True,90,0.1743119266055046,2,0.9333333333333333,True,
full_development_final_model,ecog,numeric,True,97,0.11009174311926606,1,1.0,False,insufficient_usable_variation_or_missingness
full_development_final_model,tumorsizeb,numeric,True,109,0.0,72,0.03669724770642202,True,
full_development_final_model,tumornum_count,numeric,True,109,0.0,2,0.6238532110091743,True,
full_development_final_model,log1p_ast,numeric,True,99,0.09174311926605505,89,0.020202020202020204,True,
full_development_final_model,log1p_alt,numeric,True,99,0.09174311926605505,88,0.030303030303030304,True,
full_development_final_model,log1p_tbil,numeric,True,99,0.09174311926605505,83,0.030303030303030304,True,
full_development_final_model,alb,numeric,True,99,0.09174311926605505,72,0.030303030303030304,True,
full_development_final_model,log1p_wbcb,numeric,True,99,0.09174311926605505,87,0.030303030303030304,True,
full_development_final_model,log1p_pt,numeric,True,98,0.10091743119266056,38,0.07142857142857142,True,
full_development_final_model,log1p_afpb,numeric,True,99,0.09174311926605505,99,0.010101010101010102,True,
full_development_final_model,log1p_nlrb,numeric,True,99,0.09174311926605505,99,0.010101010101010102,True,
full_development_final_model,log1p_siib,numeric,True,99,0.09174311926605505,99,0.010101010101010102,True,
full_development_final_model,log1p_crp,numeric,True,76,0.30275229357798167,54,0.06578947368421052,True,
full_development_final_model,log1p_pivka_b,numeric,False,0,,0,,False,missing_column
full_development_final_model,tacecycles,numeric,True,62,0.43119266055045874,7,0.46774193548387094,False,insufficient_usable_variation_or_missingness
full_development_final_model,gender,categorical,True,109,0.0,2,0.8623853211009175,True,
full_development_final_model,bclc,categorical,True,109,0.0,4,0.6330275229357798,True,
full_development_final_model,cnlc_major,categorical,True,109,0.0,3,0.48623853211009177,True,
full_development_final_model,pvtt_any,categorical,True,93,0.14678899082568808,2,0.5161290322580645,True,
full_development_final_model,vtt_any,categorical,True,93,0.14678899082568808,2,0.5053763440860215,True,
full_development_final_model,mrecist_response,categorical,False,0,,0,,False,missing_column
full_development_final_model,rcr_any,categorical,False,0,,0,,False,missing_column
full_development_final_model,ccr_any,categorical,False,0,,0,,False,missing_column
full_development_final_model,targeted_any,categorical,True,109,0.0,2,0.8073394495412844,True,
full_development_final_model,immunotherapy_any,categorical,True,109,0.0,2,0.5596330275229358,True,
