source_column,engineered_feature,feature_type,timing,description,active_profile,candidate_in_active_profile,engineered_column_present
age,age,numeric,baseline,Age,preoperative,True,True
gender,gender,categorical,baseline,Sex,preoperative,True,True
bmi,bmi,numeric,baseline,Body mass index,preoperative,True,True
bclc,bclc,categorical,baseline,BCLC stage,preoperative,True,True
cnlc,cnlc_major,categorical,baseline,CNLC stage,preoperative,True,True
child_score,child_score,numeric,baseline,Child-Pugh score,preoperative,True,True
ecog,ecog,numeric,baseline,ECOG performance status,preoperative,True,True
tumorsizeb,tumorsizeb,numeric,baseline,Baseline maximum tumor size,preoperative,True,True
tumornum,tumornum_count,numeric,baseline,Baseline tumor number,preoperative,True,True
pvtt,pvtt_any,categorical,baseline,Portal-vein tumor thrombus present,preoperative,True,True
vtt,vtt_any,categorical,baseline,Any vascular tumor thrombus present,preoperative,True,True
ast,log1p_ast,numeric,baseline,"AST, log transformed",preoperative,True,True
alt,log1p_alt,numeric,baseline,"ALT, log transformed",preoperative,True,True
tbil,log1p_tbil,numeric,baseline,"Total bilirubin, log transformed",preoperative,True,True
alb,alb,numeric,baseline,Albumin,preoperative,True,True
wbcb,log1p_wbcb,numeric,baseline,"Baseline WBC, log transformed",preoperative,True,True
pt,log1p_pt,numeric,baseline,"Prothrombin time, log transformed",preoperative,True,True
afpb,log1p_afpb,numeric,baseline,"Baseline AFP, log transformed",preoperative,True,True
nlrb,log1p_nlrb,numeric,baseline,"Baseline NLR, log transformed",preoperative,True,True
siib,log1p_siib,numeric,baseline,"Baseline SII, log transformed",preoperative,True,True
crp,log1p_crp,numeric,baseline,"CRP, log transformed",preoperative,True,True
tacecycles,tacecycles,numeric,preoperative,TACE cycles accrued before surgery/prediction,preoperative,True,True
targeted,targeted_any,categorical,preoperative,Any targeted therapy before surgery/prediction,preoperative,True,True
imm,immunotherapy_any,categorical,preoperative,Any immunotherapy before surgery/prediction,preoperative,True,True
pivka_b,log1p_pivka_b,numeric,baseline,"Baseline PIVKA-II/DCP, log transformed",preoperative,True,False
mrecist_response,mrecist_response,categorical,preoperative,Preoperative mRECIST response,preoperative,True,False
rcr,rcr_any,categorical,preoperative,Radiological complete response before surgery,preoperative,True,False
ccr,ccr_any,categorical,preoperative,Clinical complete response before surgery,preoperative,True,False
