repeat,fold,rf_selector_inner_CV_AUC,rf_selector_best_params_json,fold_epv_df_budget,eligible_features,selected_features,selected_effective_df
1,1,0.7222222222222222,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_ast|log1p_tbil|bmi,4
1,2,0.7380952380952381,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_ast|bmi|log1p_tbil,4
1,3,0.7317460317460318,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_ast|log1p_siib|log1p_tbil,4
1,4,0.6507936507936508,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_ast|log1p_tbil|bmi,4
1,5,0.6949206349206349,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|tumorsizeb|bmi|log1p_tbil,4
2,1,0.6111111111111112,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_tbil|log1p_ast|log1p_siib,4
2,2,0.7555555555555555,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|tumorsizeb|log1p_tbil|bmi,4
2,3,0.6682539682539682,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_ast|log1p_tbil|bmi,4
2,4,0.6619047619047619,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_ast|log1p_tbil|alb,4
2,5,0.6823280423280423,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|tumorsizeb|bmi|log1p_tbil,4
3,1,0.7698412698412698,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|bmi|log1p_tbil|tumorsizeb,4
3,2,0.6634920634920635,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_tbil|log1p_ast|log1p_pt,4
