model,repeat,fold,inner_best_AUC,best_params_json,selected_features,selected_effective_df
RidgeLogistic,1,1,0.753512396694215,"{""model__C"": 0.01}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
RidgeLogistic,1,2,0.7402892561983471,"{""model__C"": 0.3}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
RidgeLogistic,1,3,0.7745867768595042,"{""model__C"": 0.1}",tumorsizeb|log1p_ast|log1p_siib|log1p_tbil,4
RidgeLogistic,1,4,0.7316115702479339,"{""model__C"": 0.03}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
RidgeLogistic,1,5,0.7045454545454546,"{""model__C"": 0.01}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
RidgeLogistic,2,1,0.7425619834710744,"{""model__C"": 0.3}",tumorsizeb|log1p_tbil|log1p_ast|log1p_siib,4
RidgeLogistic,2,2,0.7913223140495869,"{""model__C"": 0.01}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RidgeLogistic,2,3,0.7227272727272728,"{""model__C"": 0.01}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
RidgeLogistic,2,4,0.7297520661157025,"{""model__C"": 0.01}",tumorsizeb|log1p_ast|log1p_tbil|alb,4
RidgeLogistic,2,5,0.7644628099173554,"{""model__C"": 0.01}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
RidgeLogistic,3,1,0.762809917355372,"{""model__C"": 0.01}",log1p_ast|bmi|log1p_tbil|tumorsizeb,4
RidgeLogistic,3,2,0.7473140495867769,"{""model__C"": 0.03}",tumorsizeb|log1p_tbil|log1p_ast|log1p_pt,4
RidgeLogistic,3,3,0.775,"{""model__C"": 0.03}",tumorsizeb|bmi|alb|log1p_tbil,4
RidgeLogistic,3,4,0.6898760330578512,"{""model__C"": 0.01}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RidgeLogistic,3,5,0.7210743801652892,"{""model__C"": 0.03}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RidgeLogistic,4,1,0.7547520661157024,"{""model__C"": 0.1}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
RidgeLogistic,4,2,0.7745867768595042,"{""model__C"": 0.01}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RidgeLogistic,4,3,0.7768595041322315,"{""model__C"": 0.01}",tumorsizeb|log1p_tbil|log1p_ast|bmi,4
RidgeLogistic,4,4,0.7559917355371901,"{""model__C"": 0.1}",tumorsizeb|log1p_ast|bmi|log1p_wbcb,4
RidgeLogistic,4,5,0.7086776859504131,"{""model__C"": 0.3}",log1p_tbil|tumorsizeb|alb|log1p_ast,4
RidgeLogistic,5,1,0.7892561983471075,"{""model__C"": 0.01}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RidgeLogistic,5,2,0.775,"{""model__C"": 0.01}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RidgeLogistic,5,3,0.731198347107438,"{""model__C"": 0.01}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RidgeLogistic,5,4,0.6871900826446281,"{""model__C"": 0.01}",log1p_tbil|tumorsizeb|bmi|alb,4
RidgeLogistic,5,5,0.7396694214876033,"{""model__C"": 0.01}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
ElasticNetLogistic,1,1,0.7545454545454545,"{""model__C"": 0.3, ""model__l1_ratio"": 0.25}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
ElasticNetLogistic,1,2,0.7650826446280992,"{""model__C"": 0.3, ""model__l1_ratio"": 0.25}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
ElasticNetLogistic,1,3,0.7995867768595042,"{""model__C"": 3.0, ""model__l1_ratio"": 0.75}",tumorsizeb|log1p_ast|log1p_siib|log1p_tbil,4
