model,repeat,OOF_AUC,OOF_PR_AUC,OOF_Brier,OOF_Brier_skill
RidgeLogistic,1,0.7023569023569024,0.6729698711532143,0.23344115328872242,0.06615678713019824
RidgeLogistic,2,0.7235690235690235,0.753613463709602,0.2282214070482434,0.08703752958243094
RidgeLogistic,3,0.7026936026936027,0.6850467128961938,0.2278862298072261,0.08837835140079009
RidgeLogistic,4,0.7353535353535353,0.7578976750172078,0.2134291070645964,0.14621171008940403
RidgeLogistic,5,0.7323232323232324,0.7500783740059862,0.23132922329396463,0.07460521819676968
ElasticNetLogistic,1,0.7023569023569024,0.6720304825892935,0.22399331198892755,0.10395133342072438
ElasticNetLogistic,2,0.6838383838383837,0.6705617489931744,0.23139002948299622,0.07436197296717895
ElasticNetLogistic,3,0.6986531986531986,0.7168805138939693,0.2190997816419033,0.12352710246213694
ElasticNetLogistic,4,0.7148148148148148,0.7210702671613223,0.22071099378628048,0.11708171138895673
ElasticNetLogistic,5,0.7306397306397306,0.7496664663239084,0.21165976435471492,0.15328967666721605
SVM_RBF,1,0.7124579124579125,0.6548511062853752,0.22441296213341497,0.10227259154642976
SVM_RBF,2,0.7079124579124578,0.7375344432178665,0.22121968220507784,0.11504678643820532
SVM_RBF,3,0.6188552188552189,0.6219608681509154,0.24720864264835804,0.011082194173352766
SVM_RBF,4,0.6077441077441078,0.648156717604918,0.231219247340958,0.07504515903773656
SVM_RBF,5,0.6892255892255891,0.7211938574463008,0.22423206313355745,0.10299624845461397
RandomForest,1,0.7161616161616162,0.6687519023196321,0.21859549619161958,0.12554441405635264
RandomForest,2,0.6922558922558923,0.6910422257843721,0.22339442092413614,0.10634709932671327
RandomForest,3,0.6787878787878788,0.6745510731838346,0.22848491322291678,0.08598341616111971
RandomForest,4,0.7090909090909091,0.7080245370883389,0.2181204322163549,0.12744482991161177
RandomForest,5,0.7013468013468014,0.7013092581480822,0.2210832434095204,0.11559258755942348
ExtraTrees,1,0.7383838383838384,0.6998137984797235,0.22174415097657782,0.11294873476339351
ExtraTrees,2,0.6986531986531986,0.6814523468994257,0.22482271622461747,0.10063343721727935
ExtraTrees,3,0.7107744107744108,0.6758629956919336,0.22489089103319646,0.10036071502848243
ExtraTrees,4,0.7185185185185186,0.7085962871885958,0.21969219245974692,0.12115725972584057
ExtraTrees,5,0.7343434343434343,0.7358458253883605,0.2152614043862754,0.13888190386756294
HistGradientBoosting,1,0.7037037037037037,0.6431573181523261,0.2333536548184436,0.06650681047207785
HistGradientBoosting,2,0.6668350168350168,0.6673772148610541,0.2465113214867341,0.013871713608118452
HistGradientBoosting,3,0.6644781144781146,0.6604408383928903,0.24522587420945777,0.019013935527754877
HistGradientBoosting,4,0.6565656565656566,0.6506585594213453,0.25049125655362103,-0.002049366704906408
HistGradientBoosting,5,0.735016835016835,0.7332558102524007,0.22040627737174703,0.11830067964520985
XGBoost,1,0.6984848484848485,0.6516068820326253,0.22311330324752518,0.10747166468557345
XGBoost,2,0.6993265993265994,0.6810248107498204,0.22439829415227402,0.10233126840970774
XGBoost,3,0.6966329966329966,0.6932689745764394,0.22389641082251283,0.10433897071303866
XGBoost,4,0.7045454545454546,0.7191400348527659,0.22293630437693515,0.10817971976351282
XGBoost,5,0.717003367003367,0.7359026533060199,0.21574688635751374,0.13693981252066634
LightGBM,1,0.6973063973063973,0.638121244221673,0.23993871298711328,0.04016436060609663
LightGBM,2,0.7062289562289562,0.6959223767433413,0.22777446138534863,0.08882546272076519
LightGBM,3,0.6853535353535354,0.6554358087117338,0.24012268228944433,0.0394284214542463
LightGBM,4,0.7047138047138046,0.6996853416799212,0.22967731734779528,0.0812133981787353
LightGBM,5,0.7313131313131314,0.7127556850382413,0.22151621401973787,0.1138605593372034
CatBoost,1,0.7185185185185186,0.6370749809798909,0.23334499751151938,0.06654144261469297
CatBoost,2,0.665993265993266,0.6487384797450673,0.245988490613525,0.01596321313828586
CatBoost,3,0.6616161616161617,0.6395645986611085,0.25703088409846325,-0.028210078779071557
CatBoost,4,0.6936026936026936,0.6587909788208048,0.2331523081947454,0.06731226476034669
CatBoost,5,0.6973063973063973,0.7011534222034089,0.24223780608303563,0.030967214116987662
