feature,feature_label,selected_fold_n,total_outer_folds,selection_frequency,mean_selected_rank,median_selected_rank,mean_RF_RFE_grouped_MDI_importance,feature_df_cost_mode,panel,displayed_in_main_panel
tumorsizeb,Baseline tumor size,25,25,1.0,1.6,2.0,0.3037919085821009,1.0,b,True
log1p_tbil,log(1+total bilirubin),24,25,0.96,3.0,3.0,0.2103517751095254,1.0,b,True
log1p_ast,log(1+AST),23,25,0.92,1.7391304347826086,2.0,0.2946060413446871,1.0,b,True
bmi,BMI,20,25,0.8,3.45,4.0,0.1712964657446954,1.0,b,True
alb,Albumin,4,25,0.16,3.5,3.5,0.0960139698798027,1.0,b,True
log1p_siib,log(1+baseline SII),2,25,0.08,3.5,3.5,0.0603666287492155,1.0,b,True
log1p_wbcb,log(1+baseline WBC),1,25,0.04,4.0,4.0,0.0689123187795261,1.0,b,True
log1p_pt,log(1+PT),1,25,0.04,4.0,4.0,0.0356752738240167,1.0,b,True
age,Age,0,25,0.0,,,0.0534154408788214,1.0,b,True
log1p_nlrb,log(1+baseline NLR),0,25,0.0,,,0.0533212981189901,1.0,b,True
log1p_afpb,log(1+baseline AFP),0,25,0.0,,,0.0511589274099002,1.0,b,True
log1p_alt,log(1+ALT),0,25,0.0,,,0.0508648922865863,1.0,b,True
log1p_crp,log(1+CRP),0,25,0.0,,,0.0234149771676518,1.0,b,False
vtt_any,Any vascular tumor thrombus,0,25,0.0,,,0.0143105895817448,2.0,b,False
bclc,BCLC stage,0,25,0.0,,,0.0082703334755767,3.0,b,False
immunotherapy_any,Immunotherapy exposure,0,25,0.0,,,0.0060335845854108,1.0,b,False
tacecycles,TACE cycles before prediction,0,25,0.0,,,0.0052360790225477,1.0,b,False
tumornum_count,Tumor number,0,25,0.0,,,0.0042844200681509,1.0,b,False
targeted_any,Targeted therapy exposure,0,25,0.0,,,0.0015559711734601,1.0,b,False
gender,Sex,0,25,0.0,,,0.0007908239230686,1.0,b,False
child_score,Child-Pugh score,0,25,0.0,,,5.33193047710224e-05,1.0,b,False
ccr_any,Clinical complete response,0,25,0.0,,,,,b,False
cnlc_major,CNLC stage,0,25,0.0,,,,,b,False
ecog,ECOG performance status,0,25,0.0,,,,,b,False
log1p_pivka_b,log(1+baseline PIVKA-II/DCP),0,25,0.0,,,,,b,False
mrecist_response,mRECIST response,0,25,0.0,,,,,b,False
pvtt_any,PVTT,0,25,0.0,,,,,b,False
rcr_any,Radiological complete response,0,25,0.0,,,,,b,False
