panel,fpr,tpr
c,0.0,0.0
c,0.03125,0.0
c,0.0625,0.0
c,0.0625,0.04
c,0.0625,0.08
c,0.09375,0.08
c,0.09375,0.12
c,0.09375,0.16
c,0.09375,0.2
c,0.125,0.2
c,0.125,0.24
c,0.125,0.28
c,0.125,0.32
c,0.125,0.36
c,0.15625,0.36
c,0.15625,0.4
c,0.1875,0.4
c,0.1875,0.44
c,0.1875,0.48
c,0.21875,0.48
c,0.21875,0.52
c,0.25,0.52
c,0.25,0.56
c,0.28125,0.56
c,0.28125,0.6
c,0.3125,0.6
c,0.3125,0.64
c,0.34375,0.64
c,0.375,0.64
c,0.40625,0.64
c,0.4375,0.64
c,0.4375,0.68
c,0.46875,0.68
c,0.46875,0.72
c,0.5,0.72
c,0.53125,0.72
c,0.5625,0.72
c,0.59375,0.72
c,0.625,0.72
c,0.65625,0.72
c,0.65625,0.76
c,0.6875,0.76
c,0.6875,0.8
c,0.6875,0.84
c,0.6875,0.88
c,0.6875,0.92
c,0.71875,0.92
c,0.75,0.92
c,0.75,0.96
c,0.75,1.0
c,0.78125,1.0
c,0.8125,1.0
c,0.84375,1.0
c,0.875,1.0
c,0.90625,1.0
c,0.9375,1.0
c,0.96875,1.0
c,1.0,1.0
