shot_size,analysis_role,probability_definition,bin,n,events,mean_predicted_probability,observed_proportion,wilson_95ci_low,wilson_95ci_high,calibration_intercept,calibration_slope,aggregated_probability_brier
4,design-defined exploratory,patient-level mean across prompt replicates,1,12,5,0.2987916666666667,0.4166666666666667,0.19326031365875665,0.6804886874504503,-0.03203533661341828,1.0883101896011822,0.2247718816666667
4,design-defined exploratory,patient-level mean across prompt replicates,2,11,3,0.3559181818181818,0.2727272727272727,0.09746059290024889,0.5656453011761291,-0.03203533661341828,1.0883101896011822,0.2247718816666667
4,design-defined exploratory,patient-level mean across prompt replicates,3,11,2,0.4102,0.18181818181818182,0.05136768974608513,0.4769805619608442,-0.03203533661341828,1.0883101896011822,0.2247718816666667
4,design-defined exploratory,patient-level mean across prompt replicates,4,11,7,0.5197863636363637,0.6363636363636364,0.35380117450784887,0.8483352890463243,-0.03203533661341828,1.0883101896011822,0.2247718816666667
4,design-defined exploratory,patient-level mean across prompt replicates,5,12,8,0.6591374999999999,0.6666666666666666,0.39062208887279953,0.8618799089087867,-0.03203533661341828,1.0883101896011822,0.2247718816666667
20,primary,patient-level mean across prompt replicates,1,12,4,0.23846666666666663,0.3333333333333333,0.13812009109121315,0.6093779111272004,-0.24791157277237003,0.6816200935008759,0.22707061609649118
20,primary,patient-level mean across prompt replicates,2,11,2,0.3389136363636364,0.18181818181818182,0.05136768974608513,0.4769805619608442,-0.24791157277237003,0.6816200935008759,0.22707061609649118
20,primary,patient-level mean across prompt replicates,3,11,5,0.4277863636363636,0.45454545454545453,0.21271271622459764,0.719908462590678,-0.24791157277237003,0.6816200935008759,0.22707061609649118
20,primary,patient-level mean across prompt replicates,4,11,5,0.6420227272727271,0.45454545454545453,0.21271271622459764,0.719908462590678,-0.24791157277237003,0.6816200935008759,0.22707061609649118
20,primary,patient-level mean across prompt replicates,5,12,9,0.7977416666666666,0.75,0.46769466506643426,0.9110583316059453,-0.24791157277237003,0.6816200935008759,0.22707061609649118
109,design-defined exploratory,single full-shot replicate,1,12,4,0.16666666666666666,0.3333333333333333,0.13812009109121315,0.6093779111272004,-0.24074330499374397,0.508287390451938,0.23419298245614034
109,design-defined exploratory,single full-shot replicate,2,13,3,0.33384615384615385,0.23076923076923078,0.08179528718498569,0.5025637594672749,-0.24074330499374397,0.508287390451938,0.23419298245614034
109,design-defined exploratory,single full-shot replicate,3,9,3,0.4311111111111111,0.3333333333333333,0.1205838183869109,0.6457978644196036,-0.24074330499374397,0.508287390451938,0.23419298245614034
109,design-defined exploratory,single full-shot replicate,4,11,6,0.6618181818181819,0.5454545454545454,0.280091537409322,0.7872872837754024,-0.24074330499374397,0.508287390451938,0.23419298245614034
109,design-defined exploratory,single full-shot replicate,5,12,9,0.8483333333333333,0.75,0.46769466506643426,0.9110583316059453,-0.24074330499374397,0.508287390451938,0.23419298245614034
